,code,ergp_line_item,status,amount,mda_code,agency,mother_ministry
68,ERGP28201278,"CONSTRUTION OF BOREHOLES/ RESERVOIRS - 6 NOS
",ONGOING,10500000.0,111006001,"NIPSS, KURU",
69,ERGP29225316,"DIGITIZATION OF WHOLE SYSTEM
",ONGOING,66500000.0,111006001,"NIPSS, KURU",
70,ERGP30201264,"RESEARCH ON INDUSTRIALIZATION, DIGITAL ECONOMY AND JOB CREATION COVERING 774 LGA'S (N1.68M/LGA)",ONGOING,31500000.0,111006001,"NIPSS, KURU",
71,ERGP30201275,"RESEARCH INTO SOCIO ECONOMIC PROBLEMS
",ONGOING,35000000.0,111006001,"NIPSS, KURU",
72,ERGP8201271,"EQUIPING OF MEDIA HOUSE
",ONGOING,14000000.0,111006001,"NIPSS, KURU",
73,ERGP1102191,"IT INFRASTRUCTURE AND ASSOCIATED EQUIPMENT
",ONGOING,98175000.0,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
74,ERGP1102209,"PURCHASE OF OFFICE FURNITURE AND FITTINGS FOR THE BUREAU'S WING B BUILDING
",ONGOING,14907375.0,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
75,ERGP1205869,"PURCHASE OF LAP TOP AND DESKTOP COMPUTERS FOR BPE STAFF OFFICIAL USE
",ONGOING,110726000.0,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
76,ERGP1205905,"REMODELING OF SECURITY HOUSE AND BPE MAIN ENTRANCE DOOR
",ONGOING,14000000.0,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
77,ERGP16234836,"""ACQUISITION OF BUREAU OF PUBLIC PROCUREMENT HEADQUARTER OFFICE IN ABUJA """,ONGOING,14000000000.0,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
78,ERGP7157033,"PURCHASE OF TOYOTA COASTER 30 SEAT FOR BPE OFFICIAL USE
",ONGOING,154662453.0,111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),
79,ERGP15225469,"PURCHASE OF OFFICE FURNITURE & FITTINGS-OFFICE TABLES,CHAIRS,VISITORS CHAIRS,AIR CONDITIONERS FOR NEW ZONAL OFFICES -EKITI,ANAMBRA&KATSINA",ONGOING,350000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
80,ERGP15225491,"PURCHASE OF HP & DESKJET COULORED, BLACK & WHITE PRINTERS
",ONGOING,17500000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
81,ERGP15225497,"PURCHASE OF SHARP, PANASONIC, RICOH & RANK ZEROX PHOTOCOPYING MACHINES FOR NEW ZONAL OFFICES",ONGOING,70000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
82,ERGP15225510,"PURCHASE OF HP & INDURSTRAL SCANNERS FOR NEW ZONAL OFFICES
",ONGOING,17500000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
83,ERGP15225516,ADDITIONAL INFRASTRUCTURE DEVELOPMENT OF 10 NEW HECTARES FOR EFCC ACADEMY AT AIRPORT ROAD ABUJA,ONGOING,350000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
84,ERGP15225539,ACQUISITION & RENEWAL OF VARIOUS ICT SOFTWARE & FORENSIC EQUIPMENTS LICENSES,ONGOING,210000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
85,ERGP15226105,"ACQUISITION OF ICT HARDWARES, FORENSIC HARDWARES & OTHER CAPITAL PROJECTS",ONGOING,277517033.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
86,ERGP15226503,"PURCHASE OF DELL & HP DESKTOP COMPUTERS & LAPTOPS FOR NEW ZONAL OFFICES
",ONGOING,105000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
87,ERGP15226519,"RENEWAL OF CONSULTANCY FOR NEW ACADEMY, ABUJA (ADDITITIONAL 10 HECTARES & MAIN BUILDING)",ONGOING,427000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
88,ERGP15234837,"DESIGN AND CONSTRUCTION OF LAGOS OFFICE
",ONGOING,4200000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
89,ERGP15234838,"""PHASE 2, MECHANICAL/ ELECTRICAL WORKS FOR NEW ACADEMY, ABUJA ""
",ONGOING,3500000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
90,ERGP15234839,"""OFFICE BUILDINGS FOR 3 NEW ZONAL DIRECTORATES ""
",ONGOING,1400000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
91,ERGP15234840,"""PURCHASE OF MOTOR VEHICLES (20 HILUXES, 20 BUSES AND CARS FOR MANAGEMENT STAFF) """,ONGOING,1750000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
92,ERGP15234841,"""ACQUISITION OF LAND GOMBE, KADUNA, MARKUDI, BENIN, UYO AND IBADAN ZONAL DIRECTORATES """,ONGOING,2100000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
93,ERGP15234842,"""PURCHASE OF OFFICE FURNTURE AND FITTINGS FOR 3 NEW AND 14 EXISTING ZONAL DIRECTORATES """,ONGOING,350000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
94,ERGP15234843,"""OUTSTANDING FOR INFRASTRUCTURE DEVELOPMENT OF THE NEW ACADEMY, ABUJA (JB PLC CONSULTANTS) """,ONGOING,490000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
95,ERGP15234844,"""PURCHASE AND FIREPROOF SECURITY SAFE AND CABINETS ""
",ONGOING,210000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
96,ERGP15234845,"""INFRASTRUCTURE DEVELOPMENT OF NEW ACADEMY, ABUJA FOR AN ADDITIONAL 10 HECTARES """,ONGOING,2100000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
97,ERGP15234846,"""AWARD OF CONSULTANCY FOR NEW ACADEMY, ABUJA ADDITIONAL 10 HECTARES AND MAIN BUILDING """,ONGOING,700000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
98,ERGP15234847,"""COMPUTER SOFTWARE/ HARDWARE ACQUISITION AND FORENSIC ""
",ONGOING,700000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
99,ERGP15234848,"DESIGN AND CONSTRUCTION OF KANO OFFICE
",ONGOING,3500000000.0,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),
100,ERGP15112815,"PURCHASE OF COMPUTER SOFTWARE AND HARDWARE
",ONGOING,710500000.0,111009002,NIGERIAN FINANCIAL INTELLIGENCE UNIT (NFIU),
101,ERGP15191948,"PURCHASE OF SECURITY EQUIPMENT (HARDWARE)
",ONGOING,70000000.0,111009002,NIGERIAN FINANCIAL INTELLIGENCE UNIT (NFIU),
102,ERGP15225567,"PURCHASE OF OFFICE FURNITURE , FITTINGS AND EQUIPMENT FOR THE HEAD OFFICE AND PROPSED TRAINING SCHOOL",ONGOING,420280929.0,111009002,NIGERIAN FINANCIAL INTELLIGENCE UNIT (NFIU),
103,ERGP30196433,"PURCHASE OF MOTOR VEHICLES
",ONGOING,490000000.0,111009002,NIGERIAN FINANCIAL INTELLIGENCE UNIT (NFIU),
104,ERGP15225464,DIRECT PURCHASE OF OPERATIONAL VEHICLES,ONGOING,336000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
105,ERGP15225544,PROVISION OF OFFICE FURNITURES AND FITTINGS,ONGOING,38621836.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
