code,ergp_line_item,status,amount,mda_code,agency,mother_ministry
ERGP15225585,PROCUREMENT OF DESKTOP COMPUTERS AND LAPTOPS,ONGOING,"56,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP15225657,PROCUREMENT AUDIT,ONGOING,"140,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP15225678,MONITORING AND SURVEILLANCE,ONGOING,"140,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP15225729,POWER INFRASTRUCTURE,ONGOING,"70,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP15225776,ELECTRONIC DOCUMENT STORAGE AND ARCHIVING SYSTEM,ONGOING,"70,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP15225799,UPGRADE OF BPP WEBSITE,ONGOING,"21,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP15225845,NIGERIA OPEN CONTRACTING PORTAL (NOCOPO) UPGRADE FOR E-PROCUREMENT SYSTEM.,ONGOING,"35,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP15225889,BPP OPERATIONS WORKFLOW UPGRADE,ONGOING,"35,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP15225932,SUPPLIER MARKET PRICE CHECKER PORTAL UPGRADE,ONGOING,"35,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP15225971,PURCHASE OF MEDIA AUDIO VISUAL EQUIPMENT,ONGOING,"21,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP27225524,CONSTRUCTION OF PORTA CABIN,ONGOING,"70,000,000",111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
ERGP10201638,ALTERNATIVE POWER GENERATION - SOLAR,ONGOING,"92,750,000",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP15201669,RESEARCH STUDY ON ANTI-CORRUPTION PROGRAM,ONGOING,"94,478,896",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP15234849,TRAINING AND CAPACITY BUILDING FOR SENATE PUBLIC ACCOUNTS COMMITTEE,ONGOING,"45,069,492",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP2168035,OIL AND GAS INDUSTRY AUDIT PROJECT,ONGOING,"136,954,169",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP27195103,PURCHASE OF FURNITURE AND FITTINGS FOR NEWLY ACQUIRED OFFICE BUILDING,ONGOING,"78,274,789",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP27228669,NEITI HOUSE AND PREMISES IMPROVEMENT,ONGOING,"122,888,875",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP29188507,FISCAL ALLOCATION AND STATUTORY DISBURSEMENT AUDIT PROJECT,ONGOING,"84,393,060",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP29195100,PURCHASE AND UPGRADE OF ICT EQUIPMENTS AND SOFTWARE,ONGOING,"67,200,000",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP29195101,PURCHASE OF COMMUNICATION EQUIPMENT,ONGOING,"67,264,917",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP29201714,PURCHASE OF PHOTOCOPYING MACHINES,ONGOING,"56,840,000",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP29201715,PURCHASE OF 20 SHREDDING MACHINES,ONGOING,"11,200,000",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP29201718,PURCHASE OF COMPUTER,ONGOING,"75,600,000",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP30188510,PURCHASE OF PROJECT VEHICLES,ONGOING,"115,500,000",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP30195160,RESEARCH STUDIES ON EXTRACTIVE INDUSTRY,ONGOING,"147,336,000",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP30201642,PURCHASE OF LIBRARY BOOKS AND EQUIPMENT,ONGOING,"27,036,148",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP30226815,CAPACITY DEVELOPMENT ON NATURAL RESOURCE GOVERNANCE PROJECT,ONGOING,"192,734,920",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
ERGP30228678,PMS CONSUMPTION STUDY,ONGOING,"136,860,850",111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
