code,ergp_line_item,mda,mother_ministry,amount,similarity_score,mandate_deviation_score
ERGP30231512,"PROMOTION OF LOCAL FABRICATION OF AGRO PROCESSING TOOLS, EQUIPMENT AND MACHINERY FOR PROMOTION OF AGRIBUSINESS",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.2357,76.43
ERGP30231514,SUPPORT FOR AGRO PROCESSORS IN THE ACQUISITION OF EQUIPMENT FOR AGRICULTURAL VALUE CHAINS,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,231000000.0,0.1599,84.01
ERGP30231515,AGRIBUSINESS TRAINING FOR MSMES WOMEN AND YOUTHS TO BE CARRIED OUT ACROSS THE 3 GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,126000000.0,0.3222,67.78
ERGP30231516,"UPGRADE OF MARKETS IN LOCAL COMMUNITIES IN SELECTED STATES.
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.2919,70.81
ERGP30231518,DEVELOPMENT OF COLD CHAIN FACILITIES TO SUPPORT FARMERS IN SOME SELECTED STATES ACROSS THE 3 GEOPOLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,182000000.0,0.3051,69.49
ERGP30231519,DEVELOPMENT AND CAPACITY BUILDING ON AGRICULTURAL PRODUCT IMPROVEMENT FOR VALUE ADDITION AND INCOME GENERATION,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,105000000.0,0.2223,77.77
ERGP30231520,COLLABORATION WITH DEVELOPMENT PARTNERS IN CAPACITY BUILDING FOR STANDARD OF EXPORTABLE CROP FOR ZERO REJECTION.,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,73606389.0,0.2182,78.18
ERGP30231562,"DEVELOPMENT AND IMPROVEMENT OF FMAFS CAREER IN AGRICULTURE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,69300000.0,0.1855,81.45
ERGP30231563,"PROFESSIONALIZATION OF THE HUMAN RESOURCES MANAGEMENT DEPARTMENT
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,47600000.0,0.1073,89.27
ERGP30231565,ELECTRIFICATION OF AGRO AND RURAL INDUSTRIAL COMMUNITIES IN 2 GEOPOLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.3043,69.57
ERGP30231570,RURAL NON-FARM EMPOWERMENT SUPPORT (PROMOTION OF MICRO SMALL MEDIUM ENTERPRISE -MSMEs) IN THE 6 GEO-POLITICAL ZONES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,708347736.0,0.3531,64.69
ERGP30231571,"STRENTHENING MOBILIZATION & AWARENESS CREATION , NEEDS ASSESMENT IN RURAL COMMUNITIES FOR IMPROVED AGRICULTURAL PRODUCTION",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,91801242.0,0.3043,69.57
ERGP30237810,CONSTRUCTION OF MALE AND FEMALE HOSTELS IN NABANJE FEDERAL COLLEGE OF AGRICULTURE AND TECHNOLOGY,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1400000000.0,0.4138,58.62
ERGP30237813,"CONSTRUCTION OF COMPUTER CENTRES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.1719,82.81
ERGP30237818,"CONSTRUCTION OF RESIDENT FOR RECTOR WITH FINISHING
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,560000000.0,0.1858,81.42
ERGP30237821,"CONSTRUCTION OF HOUSES FOR BURSER AND CHEIF LABRERIAN WITH FINISHING
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,595000000.0,0.2176,78.24
ERGP30237822,"CONSTRUCTION OF ADMINISTRATION BLOCK
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.247,75.3
ERGP30237824,"CONSTRUCTION OF FENCING
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1400000000.0,0.2008,79.92
ERGP30237827,"CONSTRUCTION OF LABROTERIES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1400000000.0,0.0217,97.83
ERGP30237830,"CONSTRUCTION OF LECTURE TREATERS
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1400000000.0,0.0245,97.55
ERGP30237832,"PUCHASE OF HILUX OPERATIONAL VEHICLES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,595000000.0,0.0543,94.57
ERGP30237834,EMERGENCY CONSTRUCTION OF OFFA TO ALAYA ROAD WITH SOLAR STREETLIGHTS FOR AGRICULTURAL AND ECONOMIC IMPROVEMENTS OFFA KWARA STATE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,402903681.0,0.4573,54.27
ERGP30237836,"SUPPLY OF AGRICULTURAL INPUTS FOR FARMERS IN ODO-OGUN KWARA STATE, GURUKU AND KUGBARU NASARAWA STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,489081529.0,0.481,51.9
ERGP30237848,"CONSTRUCTION OF KARA LIVESTOCK MARKET, OKE MAIKA, ILEMONA KWARA STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,333076398.0,0.5042,49.58
ERGP30237850,PROVISION OF SOLAR ENERGY SOURCE IN AGBOWA/IKOSI/EPE COMMUNITIES LAGOS STATE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.3986,60.14
ERGP30237852,CONSTRUCTION OF RURAL FEEDER ROAD IN EPE AND AGBOWA COMMUNITIES LAGOS STATE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.5558,44.42
ERGP30237855,"RENEWED HOPE INITIATIVE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,3500000000.0,0.3354,66.46
ERGP30237858,"CONSTRUCTION OF INTERNAL ROADS IN FEDERAL POLYTECHNIC, NYAK-SHENDAM, PLATEAU STATE (LOTS)",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1050000000.0,0.5266,47.34
ERGP30237860,"PROVISION OF SOLAR STREET LIGHT AT TUDUN WADA WARDS, GOMBE LGA
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,17500000.0,0.3871,61.29
ERGP30237865,"PROVISION OF SOLAR STREET AT TUNFURE, GOMBE LGA
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,17500000.0,0.4478,55.22
ERGP30237870,REHABILITATION OF EMCCO FIELD AND OTHER SOCIAL INFRASTRUCTURE IN OKENGWEN,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.4532,54.68
ERGP30237873,SUPPLY OF GRAINS AND CONSTRUCTION OF SOLAR STREETLIGHTS TO AKKO AND FUNTUA FEDERAL CONSTITUENCIES,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,910000000.0,0.4422,55.78
ERGP30237877,"SUPPLY OF FERTILIZER TO AKKO AND FUNTUA FEDERAL CONSTITUENCIES
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.5286,47.14
ERGP30237879,"SUPPLY OF WATER PUMPING MACHING IN SURU/BAGUDO- KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.4007,59.93
ERGP30237884,"SUPPLY OF FOOD ITEMS TO SELECTED INDIGENTS IN AKOKO NORTH FEDERAL CONSTITUENCY, ONDO STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,350000000.0,0.5386,46.14
ERGP30237889,"CONSTRUCTION OF SURFACE DRESSING AT KADARKO PRIMARY SCHOOL TO WARAM, PLATEAU STATE (RURAL DEVELOPMENT AGENCY)",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,172900000.0,0.375,62.5
